advertisement	audio	download	update	advertisement_catch	audio_catch	download_catch	update_catch	advertisement_gemma2	advertisement_llama	advertisement_mixtral	audio_gemma2	audio_llama	audio_mixtral	download_gemma2	download_llama	download_mixtral	update_gemma2	update_llama	update_mixtral
0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.0	1.0	0.0	0.0	1	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0
0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0	0.0	0.0	1.0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1
0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0	1.0	0.0	0.0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
0.0	0.0	0.0	1.0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1
0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0	1.0	0.0	0.0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1
0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0	0.0	0.0	1.0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1
0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0	0.0	0.0	1.0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1
0.0	1.0	0.0	0.0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	1
0.0	0.0	0.0	1.0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1
0.0	0.0	0.0	1.0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1
0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0	0.0	1.0	1.0	0	0	1	1	0	0	0	0	0	0	1	0	1	1	1	1
0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0	0.0	1.0	0.0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0	0.0	0.0	1.0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1
0.0	0.0	0.0	0.0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0	0.0	0.0	1.0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1
0.0	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1.0	0.0	0.0	0.0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0
0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0	0.0	0.0	1.0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1
0.0	0.0	1.0	1.0	0	0	1	1	0	0	0	0	0	0	1	0	1	1	0	1
0.0	0.0	1.0	1.0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	1
1.0	0.0	0.0	0.0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0	0.0	1.0	0.0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0
0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.0	0.0	0.0	0.0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
